date	P1	P2	P3	P4	P5
20031231	41	53.4	22.97	24.83	42.14
20031128	36.2	42.78	21.74	25.63	38.39
20031031	36.58	42.67	22.31	25	38.49
20030930	36.6	40.93	19.36	23.54	34.33
20030829	37.7	41.1	19.93	22.42	37.39
20030731	35.58	37.43	21.17	23.01	33.12
20030630	35.91	36	21.3	22.06	34.32
20030530	36.4	35.33	19.5	18.73	30.67
20030430	35.2	36.05	16.3	17.1	27.28
20030331	34.95	33.62	15.55	14.46	25.06
20030228	34.02	33.77	15.85	13.61	27.56
20030131	34.15	36.33	17.41	14.24	31.59
20021231	34.94	36.86	17.36	16.08	32.99
20021129	34.8	39.7	19.48	18.5	34.05
20021031	33.66	33.25	15.8	18.11	29.75
20020930	31.9	38.9	11.67	17.66	34.13
20020830	35.45	47.86	13.43	23.76	37.07
20020731	36.76	46.55	14.15	24.75	41.52
20020628	40.92	53.45	15.28	28.45	45
20020531	39.93	62.15	19.09	29.94	42.65
20020430	40.17	64.15	17.1	28.4	44.6
20020328	43.83	60.45	17.94	27.75	48.25
20020228	41.3	52.98	20.12	26.1	45.96
20020131	39.05	51.14	22.11	27.18	40.95
20011231	39.3	48.6	20.54	26.47	38.78
20011130	37.4	49.7	21.99	26.84	35.1
20011031	39.45	41.32	16.83	26.07	32.6
20010928	39.4	42.9	16.05	27.14	33.5
20010831	40.15	54.75	23.21	30.03	51.2
20010731	41.76	63.6	24.66	29.14	58.53
20010629	87.35	64.35	28.6	27.06	55.6
20010531	88.75	56.9	29.32	30.28	62.89
20010430	88.6	54.81	28.43	27.5	61.8
20010330	81	51.85	31.27	26.55	55.71
20010228	81.05	53.32	28.85	29.4	62.2
20010131	84.15	53.7	36.85	29.35	58.5
20001229	86.9375	50.9375	31.5625	34	66
20001130	88	49.5	31.625	31.875	69.0625
20001031	89.1875	62.125	46.5	31	67.8125
20000929	89.125	65	97	30.1875	63
20000831	81.625	72.1875	120.75	29.875	53.625
20000731	80	56.9375	109.1875	31.5	49
20000630	78.5	58.0625	124.875	32.9375	41.8125
20000531	83.3125	70.625	120.1875	35.8125	39.0625
20000428	77.6875	93.625	135	38.0625	39.6875
20000331	77.9375	82.8125	132.875	37.375	37.8125
20000229	75.3125	76.0625	134.5	31.625	36.9375
20000131	83.4375	80.5625	108.25	37.375	44.5
19991231	80.5625	72.6875	113.75	40.3125	41.4375
19991130	79.3125	72	94.875	45.125	40.625
19991029	74.0625	70.4375	74.1875	41.25	46.0625
19990930	76	62.9375	90.75	43.25	42.625
19990831	78.875	66.25	105.375	41.375	45.3125
19990730	79.375	61.125	104.6875	41.6875	45.375
19990630	77.125	66	100.5	41.125	44
19990528	79.875	69	94.3125	38.5	42.0625
19990430	83.0625	89.0625	78.875	42.375	40.625
19990331	70.5625	87	67.8125	45.3125	34
19990226	66.5625	82.5625	66.4375	85	35.625
19990129	70.25	89.75	78.375	78.8125	34.6875
